experiment,problem,approach,size,instance_id,n_runs,expected_runs,technical_success_rate,conditional_feasibility_rate,overall_feasible_rate,optimal_solution_rate,consistency_rate,n_distinct_feasible_values,instance_gap_count,instance_gap_mean_pct,instance_gap_median_pct,instance_gap_std_pct,instance_gap_min_pct,instance_gap_max_pct,instance_gap_q25_pct,instance_gap_q75_pct,instance_gap_iqr_pct,instance_runtime_count,instance_runtime_mean_seconds,instance_runtime_median_seconds,instance_runtime_std_seconds,instance_runtime_min_seconds,instance_runtime_max_seconds,instance_debug_iterations_mean,instance_debug_iterations_median
main,SICLSP,Code-Based,20,siclsp_T20_inst3,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.8,1.0
main,SICLSP,Code-Based,20,siclsp_T20_inst4,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.2,0.0
main,SICLSP,Code-Based,25,siclsp_T25_inst0,10,10,0.8,1.0,0.8,0.8,1.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.5,1.0
main,SICLSP,Code-Based,25,siclsp_T25_inst1,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.3,0.0
main,SICLSP,Code-Based,25,siclsp_T25_inst2,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.4,0.0
main,SICLSP,Code-Based,25,siclsp_T25_inst3,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.4,0.0
main,SICLSP,Code-Based,25,siclsp_T25_inst4,10,10,0.9,1.0,0.9,0.8,0.8888888888888888,2,9,0.05678591709256104,0.0,0.17035775127768313,0.0,0.5110732538330494,0.0,0.0,0.0,0,,,,,,0.7,0.0
main,SICLSP,Direct,5,siclsp_T5_inst0,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,5,siclsp_T5_inst1,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,5,siclsp_T5_inst2,10,10,0.9,0.0,0.0,0.0,0.1111111111111111,9,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,5,siclsp_T5_inst3,10,10,1.0,1.0,1.0,0.2,0.7,3,10,7.308153477218224,10.371702637889687,4.934509641266671,0.0,10.371702637889687,2.952637889688249,10.371702637889687,7.419064748201437,0,,,,,,,
main,SICLSP,Direct,5,siclsp_T5_inst4,10,10,1.0,1.0,1.0,0.0,0.6,3,10,23.19966583124478,22.138680033416875,3.710721717356998,21.804511278195488,33.751044277360066,21.888053467000834,22.138680033416875,0.25062656641604164,0,,,,,,,
main,SICLSP,Direct,10,siclsp_T10_inst0,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,10,siclsp_T10_inst1,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,10,siclsp_T10_inst2,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,10,siclsp_T10_inst3,10,10,1.0,0.7,0.7,0.0,0.4,5,7,17.241379310344826,15.912685858905409,1.657171889112155,15.912685858905409,19.01297057893072,15.912685858905409,19.01297057893072,3.1002847200253107,0,,,,,,,
main,SICLSP,Direct,10,siclsp_T10_inst4,10,10,0.9,0.0,0.0,0.0,0.1111111111111111,9,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,15,siclsp_T15_inst0,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,15,siclsp_T15_inst1,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,15,siclsp_T15_inst2,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,15,siclsp_T15_inst3,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,15,siclsp_T15_inst4,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,20,siclsp_T20_inst0,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,20,siclsp_T20_inst1,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,20,siclsp_T20_inst2,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,20,siclsp_T20_inst3,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,20,siclsp_T20_inst4,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,25,siclsp_T25_inst0,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,25,siclsp_T25_inst1,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,25,siclsp_T25_inst2,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,25,siclsp_T25_inst3,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
main,SICLSP,Direct,25,siclsp_T25_inst4,10,10,1.0,0.3,0.3,0.0,0.3,8,3,40.85746734809767,40.85746734809767,0.0,40.85746734809767,40.85746734809767,40.85746734809767,40.85746734809767,0.0,0,,,,,,,
main,SMTWTP,Code-Based,5,smtwtp_n5_inst0,10,10,0.8,1.0,0.8,0.8,1.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.9,1.0
main,SMTWTP,Code-Based,5,smtwtp_n5_inst1,10,10,0.8,1.0,0.8,0.2,0.25,5,8,70.32497149372861,66.1915621436716,52.64349917284127,0.0,132.2690992018244,42.84492588369441,114.4811858608894,71.63625997719498,0,,,,,,1.2,0.0
main,SMTWTP,Code-Based,5,smtwtp_n5_inst2,10,10,1.0,1.0,1.0,0.0,0.7,2,10,48.035019455252915,44.74708171206226,5.294082728287968,44.74708171206226,55.70687418936446,44.74708171206226,52.96692607003891,8.219844357976648,0,,,,,,0.8,0.0
main,SMTWTP,Code-Based,5,smtwtp_n5_inst3,10,10,0.8,1.0,0.8,0.3,0.375,3,8,60.16483516483517,80.21978021978022,52.5161735842663,0.0,120.32967032967032,0.0,90.24725274725274,90.24725274725274,0,,,,,,1.9,1.0
main,SMTWTP,Code-Based,5,smtwtp_n5_inst4,10,10,0.8,1.0,0.8,0.1,0.75,3,8,77.71739130434783,96.55797101449275,36.6795583274912,0.0,96.55797101449275,83.01630434782608,96.55797101449275,13.541666666666671,0,,,,,,1.1,0.0
main,SMTWTP,Code-Based,10,smtwtp_n10_inst0,10,10,1.0,1.0,1.0,0.1,0.6,4,10,84.56994818652849,81.45077720207254,40.66079246459729,0.0,171.3644214162349,81.45077720207254,89.9740932642487,8.52331606217615,0,,,,,,1.0,1.0
main,SMTWTP,Code-Based,10,smtwtp_n10_inst1,10,10,1.0,1.0,1.0,0.0,0.4,4,10,84.19709634843817,87.5054993400792,47.65126662883178,0.5279366476022878,131.89617245930486,46.282446106467226,131.89617245930486,85.61372635283763,0,,,,,,0.4,0.0
main,SMTWTP,Code-Based,10,smtwtp_n10_inst2,10,10,0.9,1.0,0.9,0.3,0.3333333333333333,5,9,281.41714915908466,70.47146401985111,304.3660370358811,0.0,651.8610421836228,0.0,545.1612903225806,545.1612903225806,0,,,,,,1.2,1.0
main,SMTWTP,Code-Based,10,smtwtp_n10_inst3,10,10,1.0,1.0,1.0,0.3,0.5,3,10,296.68224299065423,374.76635514018693,224.1347453223478,0.0,489.25233644859816,65.07009345794393,489.25233644859816,424.18224299065423,0,,,,,,0.3,0.0
main,SMTWTP,Code-Based,10,smtwtp_n10_inst4,10,10,1.0,1.0,1.0,0.0,0.8,3,10,137.60321715817696,148.31099195710456,27.793954149772773,60.375335120643435,148.31099195710456,148.31099195710456,148.31099195710456,0.0,0,,,,,,0.6,1.0
main,SMTWTP,Code-Based,15,smtwtp_n15_inst0,10,10,1.0,1.0,1.0,0.0,0.7,2,10,210.00607902735564,8.085106382978724,325.12365417185305,8.085106382978724,681.1550151975684,8.085106382978724,512.887537993921,504.8024316109423,0,,,,,,0.3,0.0
main,SMTWTP,Code-Based,15,smtwtp_n15_inst1,10,10,1.0,1.0,1.0,0.0,0.8,3,10,69.84074074074074,19.814814814814817,117.28846001727362,19.814814814814817,378.8148148148148,19.814814814814817,19.814814814814817,0.0,0,,,,,,0.7,1.0
main,SMTWTP,Code-Based,15,smtwtp_n15_inst2,10,10,0.9,1.0,0.9,0.0,0.7777777777777778,2,9,57.71706439553644,7.538578294965849,99.56984654086573,7.538578294965849,233.34176574753354,7.538578294965849,7.538578294965849,0.0,0,,,,,,0.8,0.0
main,SMTWTP,Code-Based,15,smtwtp_n15_inst3,10,10,1.0,1.0,1.0,0.0,0.6,3,10,135.2543720190779,43.91891891891892,122.07991971930461,43.91891891891892,299.6422893481717,43.91891891891892,272.25755166931634,228.33863275039744,0,,,,,,0.4,0.0
main,SMTWTP,Code-Based,15,smtwtp_n15_inst4,10,10,0.7,1.0,0.7,0.0,0.8571428571428571,2,7,35.16550522648083,10.914634146341463,64.1617739547371,10.914634146341463,180.67073170731706,10.914634146341463,10.914634146341463,0.0,0,,,,,,2.1,1.0
main,SMTWTP,Code-Based,20,smtwtp_n20_inst0,10,10,1.0,1.0,1.0,0.0,0.9,2,10,339.3134328358209,375.4371002132196,114.23306635090125,14.200426439232409,375.4371002132196,375.4371002132196,375.4371002132196,0.0,0,,,,,,0.0,0.0
main,SMTWTP,Code-Based,20,smtwtp_n20_inst1,10,10,0.8,1.0,0.8,0.0,0.5,3,8,124.36265583415043,86.9519540551898,118.31722262750112,17.9857122846337,255.6800672363076,17.9857122846337,255.6800672363076,237.6943549516739,0,,,,,,1.8,1.0
main,SMTWTP,Code-Based,20,smtwtp_n20_inst2,10,10,1.0,1.0,1.0,0.0,0.6,3,10,328.5704765078307,322.24258580473173,97.64154487588635,85.27157614128625,422.3258913695435,322.24258580473173,397.30506497834057,75.06247917360884,0,,,,,,1.0,1.0
main,SMTWTP,Code-Based,20,smtwtp_n20_inst3,10,10,1.0,0.8,0.8,0.1,0.4,5,8,238.58794887401095,243.01075268817203,226.98784660906517,0.0,450.6390748630554,35.382430513288696,450.6390748630554,415.2566443497667,0,,,,,,1.0,0.0
main,SMTWTP,Code-Based,20,smtwtp_n20_inst4,10,10,0.8,1.0,0.8,0.0,0.5,2,8,245.18930957683745,245.18930957683742,229.26133615810554,30.734966592427615,459.6436525612472,30.734966592427615,459.6436525612472,428.9086859688196,0,,,,,,1.3,0.5
main,SMTWTP,Code-Based,25,smtwtp_n25_inst0,10,10,0.9,1.0,0.9,0.0,0.8888888888888888,2,9,382.2031473533619,397.7510729613734,46.64377682403432,257.8197424892704,397.7510729613734,397.7510729613734,397.7510729613734,0.0,0,,,,,,0.5,0.0
main,SMTWTP,Code-Based,25,smtwtp_n25_inst1,10,10,0.7,1.0,0.7,0.0,0.7142857142857143,3,7,378.1451677157198,476.7847183491355,184.47173865075914,1.3385387618516453,476.7847183491355,369.26938092582265,476.7847183491355,107.51533742331287,0,,,,,,1.6,0.0
main,SMTWTP,Code-Based,25,smtwtp_n25_inst2,10,10,0.9,0.7777777777777778,0.7,0.0,0.4444444444444444,5,7,399.3566156693134,603.8560024100015,277.3732883414233,17.683386052116283,603.8560024100015,181.19445699653562,603.8560024100015,422.66154541346583,0,,,,,,1.8,2.0
main,SMTWTP,Code-Based,25,smtwtp_n25_inst3,10,10,0.9,1.0,0.9,0.0,1.0,1,9,274.10562180579217,274.10562180579217,0.0,274.10562180579217,274.10562180579217,274.10562180579217,274.10562180579217,0.0,0,,,,,,0.7,0.0
